split,roboflow_filename,game,clip,frame_name,frame_id,width,height,tracknet_visibility,tracknet_x,tracknet_y,tracknet_status,matched_tracknet,ball_xmin,ball_ymin,ball_xmax,ball_ymax,ball_cx,ball_cy,player_count,player_boxes,court_1,court_2,court_3,court_4,court_5,court_6,court_7,court_8,court_9,court_10,court_11,court_12,court_13,court_14,selected_orientation,direct_error,mirrored_error,selected_error,orientation_margin
valid,game1-Clip10-0010_jpg.rf.e1bd6d4a081ed5b5f18b0977a4ccbb2a.jpg,game1,Clip10,0010.jpg,10,1280,720,1,584,49,0,1,577.0,42,591.0,56,584.0,49.0,2,"579,79,625,176|893,457,1027,613","415.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","967.000,535.000","1077.000,534.000",direct,0.0,112.0,0.0,112.0
train,game1-Clip10-0011_jpg.rf.6ed9a2ce0ddc22dd2091ab2df1798281.jpg,game1,Clip10,0011.jpg,11,1280,720,1,585,44,0,1,578.0,37,592.0,51,585.0,44.0,2,"579,81,625,176|893,455,1025,612","415.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","966.000,535.000","1077.000,534.000",direct,0.0,110.0,0.0,110.0
train,game1-Clip10-0012_jpg.rf.29d00b746649665e3381dc889a1a35d0.jpg,game1,Clip10,0012.jpg,12,1280,720,1,585,42,0,1,578.0,35,592.0,49,585.0,42.0,2,"578,78,626,176|893,453,1024,612","415.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","966.000,535.000","1077.000,534.000",direct,0.0,110.0,0.0,110.0
train,game1-Clip10-0013_jpg.rf.5864ce0dddfeea6ac4e1e64127f8b4d7.jpg,game1,Clip10,0013.jpg,13,1280,720,1,587,36,0,1,580.0,29,594.0,43,587.0,36.0,2,"579,81,627,176|893,451,1021,610","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,539.000","967.000,533.000","1077.000,533.000",direct,0.0,106.0,0.0,106.0
train,game1-Clip10-0014_jpg.rf.c074f0538eca88b83947bc5bb1c2c655.jpg,game1,Clip10,0014.jpg,14,1280,720,2,589,33,0,1,582.0,26,596.0,40,589.0,33.0,2,"579,85,626,176|893,450,1018,608","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,102.0,0.0,102.0
train,game1-Clip10-0015_jpg.rf.8527f61d1bda722fa607dfcd51819dba.jpg,game1,Clip10,0015.jpg,15,1280,720,2,590,33,0,1,583.0,26,597.0,40,590.0,33.0,2,"579,87,625,176|893,448,1018,608","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,398.000","193.000,540.000","305.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,100.0,0.0,100.0
train,game1-Clip10-0016_jpg.rf.f9dfc6c1860d01abd75354417367a5b0.jpg,game1,Clip10,0016.jpg,16,1280,720,2,593,33,0,1,586.0,26,600.0,40,593.0,33.0,2,"579.000,88.000,625.000,176.000|893.000,448.000,1015.000,608.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,539.000","967.000,533.000","1077.000,532.000",mirrored,94.0,0.0,0.0,94.0
train,game1-Clip10-0017_jpg.rf.49044da2e36d1f88c7e1824730f617bc.jpg,game1,Clip10,0017.jpg,17,1280,720,2,593,34,0,1,586.0,27,600.0,41,593.0,34.0,2,"579.000,90.000,625.000,176.000|894.000,448.000,1015.000,608.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,398.000","193.000,540.000","305.000,539.000","967.000,534.000","1078.000,533.000",mirrored,94.0,0.0,0.0,94.0
train,game1-Clip10-0018_jpg.rf.ca5f1e1424239a1f5d78fbf1c77b4044.jpg,game1,Clip10,0018.jpg,18,1280,720,2,595,32,0,1,588.0,25,602.0,39,595.0,32.0,2,"579,91,625,176|893,449,1015,609","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","967.000,534.000","1078.000,533.000",direct,0.0,90.0,0.0,90.0
train,game1-Clip10-0019_jpg.rf.d97c98f89cdc569078b7b3fa027f7ecb.jpg,game1,Clip10,0019.jpg,19,1280,720,2,596,33,0,1,589.0,26,603.0,40,596.0,33.0,2,"579,90,626,176|894,449,1015,609","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","967.000,534.000","1078.000,534.000",direct,0.0,88.0,0.0,88.0
train,game1-Clip10-0020_jpg.rf.8ea73820739c4c327df012901b107f9d.jpg,game1,Clip10,0020.jpg,20,1280,720,2,597,33,0,1,590.0,26,604.0,40,597.0,33.0,2,"579,89,624,176|893,448,1015,609","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,86.0,0.0,86.0
train,game1-Clip10-0021_jpg.rf.8916204ef325cb9e1d23f95fc5729ec8.jpg,game1,Clip10,0021.jpg,21,1280,720,2,598,35,0,1,591.0,28,605.0,42,598.0,35.0,2,"580.000,86.000,622.000,176.000|893.000,446.000,1015.000,609.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,539.000","966.000,533.000","1077.000,532.000",mirrored,84.0,0.0,0.0,84.0
train,game1-Clip10-0022_jpg.rf.b6155d648135069776f012d1b861abd3.jpg,game1,Clip10,0022.jpg,22,1280,720,2,598,38,0,1,591.0,31,605.0,45,598.0,38.0,2,"581,86,621,176|893,443,1015,608","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,539.000","966.000,532.000","1076.000,531.000",direct,0.0,84.0,0.0,84.0
train,game1-Clip10-0023_jpg.rf.f06b0ffe22cd699a99ba2f274ffcedb3.jpg,game1,Clip10,0023.jpg,23,1280,720,1,602,40,0,1,595.0,33,609.0,47,602.0,40.0,2,"580.000,88.000,626.000,176.000|893.000,439.000,1015.000,606.000","413.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","638.000,399.000","906.000,397.000","194.000,540.000","306.000,538.000","965.000,531.000","1074.000,530.000",mirrored,76.0,0.0,0.0,76.0
valid,game1-Clip10-0024_jpg.rf.ab3d4179d828db863ff06ec8319136ca.jpg,game1,Clip10,0024.jpg,24,1280,720,1,603,46,0,1,596.0,39,610.0,53,603.0,46.0,2,"581,87,624,176|891,435,1012,604","413.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","827.000,219.000","369.000,401.000","638.000,399.000","906.000,397.000","194.000,540.000","306.000,538.000","966.000,531.000","1074.000,529.000",direct,0.0,74.0,0.0,74.0
train,game1-Clip10-0025_jpg.rf.31c372af7ae4760c91416fb907356a12.jpg,game1,Clip10,0025.jpg,25,1280,720,1,605,50,0,1,598.0,43,612.0,57,605.0,50.0,2,"582,81,623,176|891,431,1013,604","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","966.000,534.000","1076.000,533.000",direct,0.0,70.0,0.0,70.0
valid,game1-Clip10-0026_jpg.rf.776419695ee770117cb43f148614392f.jpg,game1,Clip10,0026.jpg,26,1280,720,1,606,56,0,1,599.0,49,613.0,63,606.0,56.0,2,"582,81,622,175|891,430,1009,597","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","966.000,534.000","1076.000,533.000",direct,0.0,68.0,0.0,68.0
train,game1-Clip10-0027_jpg.rf.82f1883f45ad9f3eecba3c2d2475af3e.jpg,game1,Clip10,0027.jpg,27,1280,720,1,607,66,1,1,600.0,59,614.0,73,607.0,66.0,2,"583.000,86.000,622.000,170.000|889.000,429.000,1005.000,593.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","966.000,534.000","1076.000,533.000",mirrored,66.0,0.0,0.0,66.0
train,game1-Clip10-0028_jpg.rf.752f57012bbed05df5dfe31822acac24.jpg,game1,Clip10,0028.jpg,28,1280,720,1,610,94,0,1,603.0,87,617.0,101,610.0,94.0,2,"583,88,624,170|885,430,1003,591","415.000,171.000","471.000,171.000","804.000,170.000","861.000,170.000","450.000,219.000","637.000,219.000","826.000,218.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,539.000","304.000,539.000","966.000,534.000","1077.000,534.000",direct,0.0,60.0,0.0,60.0
train,game1-Clip10-0029_jpg.rf.c8f5b2796212be36cae65bd1ac0ee6ff.jpg,game1,Clip10,0029.jpg,29,1280,720,1,614,120,0,1,607.0,113,621.0,127,614.0,120.0,2,"582,90,628,171|879,432,1002,590","415.000,171.000","471.000,171.000","804.000,170.000","860.000,170.000","450.000,219.000","637.000,219.000","826.000,218.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,539.000","304.000,539.000","966.000,534.000","1077.000,534.000",direct,0.0,52.0,0.0,52.0
valid,game1-Clip10-0030_jpg.rf.bc7a333f217dcac55efaa81e865ad018.jpg,game1,Clip10,0030.jpg,30,1280,720,2,617,145,0,1,610.0,138,624.0,152,617.0,145.0,2,"583,91,629,170|878,436,1003,591","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","194.000,540.000","305.000,538.000","965.000,532.000","1075.000,531.000",direct,0.0,46.0,0.0,46.0
train,game1-Clip10-0031_jpg.rf.2ef1bc29f67f074209b699b42866fc99.jpg,game1,Clip10,0031.jpg,31,1280,720,2,621,181,0,1,614.0,174,628.0,188,621.0,181.0,2,"583.000,92.000,630.000,172.000|877.000,441.000,1004.000,591.000","413.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","193.000,540.000","305.000,538.000","965.000,532.000","1074.000,530.000",mirrored,38.0,0.0,0.0,38.0
train,game1-Clip10-0032_jpg.rf.9b0708cd2221d54c69382c4952e07808.jpg,game1,Clip10,0032.jpg,32,1280,720,1,626,213,0,1,619.0,206,633.0,220,626.0,213.0,2,"578,94,632,175|875,446,1004,591","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","905.000,398.000","193.000,539.000","305.000,538.000","964.000,532.000","1074.000,531.000",direct,0.0,28.0,0.0,28.0
train,game1-Clip10-0033_jpg.rf.2f23fc85f904c1eff9f7b21b6803ee90.jpg,game1,Clip10,0033.jpg,33,1280,720,2,633,253,0,1,626.0,246,640.0,260,633.0,253.0,2,"581,97,629,177|876,446,1003,590","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","905.000,398.000","193.000,539.000","304.000,538.000","964.000,532.000","1074.000,531.000",direct,0.0,14.0,0.0,14.0
train,game1-Clip10-0034_jpg.rf.26c33fb1783ccf985c4b45c0ee082824.jpg,game1,Clip10,0034.jpg,34,1280,720,2,638,295,0,1,631.0,288,645.0,302,638.0,295.0,2,"580,101,629,177|874,448,1003,587","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","638.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,398.000","192.000,540.000","304.000,539.000","967.000,533.000","1077.000,532.000",direct,0.0,4.0,0.0,4.0
train,game1-Clip10-0035_jpg.rf.96c65f3bd54e4b52afe396444a3f1661.jpg,game1,Clip10,0035.jpg,35,1280,720,2,642,340,0,1,635.0,333,649.0,347,642.0,340.0,2,"584,108,629,178|868,448,1003,585","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","968.000,534.000","1078.000,533.000",direct,0.0,4.0,0.0,4.0
train,game1-Clip10-0036_jpg.rf.db1f9dd280b8132ee525f41f446cfca9.jpg,game1,Clip10,0036.jpg,36,1280,720,1,650,384,0,1,643.0,377,657.0,391,650.0,384.0,2,"584,111,630,178|854,447,994,585","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,20.0,0.0,20.0
train,game1-Clip10-0037_jpg.rf.c9fbc82d37ea7cc71c98cbe9cadacf8a.jpg,game1,Clip10,0037.jpg,37,1280,720,1,654,393,2,1,647.0,386,661.0,400,654.0,393.0,2,"586,111,630,178|844,447,987,584","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","305.000,539.000","966.000,534.000","1077.000,533.000",direct,0.0,28.0,0.0,28.0
train,game1-Clip10-0038_jpg.rf.ee731e38f802d9fe0e2a5c3a4f4869ba.jpg,game1,Clip10,0038.jpg,38,1280,720,2,660,400,0,1,653.0,393,667.0,407,660.0,400.0,2,"589,111,631,178|828,447,977,583","414.000,171.000","470.000,171.000","804.000,171.000","860.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,40.0,0.0,40.0
train,game1-Clip10-0039_jpg.rf.c2fb6278a4ff2de7815f096db30b464d.jpg,game1,Clip10,0039.jpg,39,1280,720,1,666,412,0,1,659.0,405,673.0,419,666.0,412.0,2,"591,110,631,177|811,446,963,584","414.000,171.000","470.000,171.000","804.000,171.000","860.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1078.000,533.000",direct,0.0,52.0,0.0,52.0
train,game1-Clip10-0040_jpg.rf.2d0aba111e089a8432b31a64b8a6ee01.jpg,game1,Clip10,0040.jpg,40,1280,720,1,674,427,0,1,667.0,420,681.0,434,674.0,427.0,2,"594,110,633,182|788,445,917,585","414.000,171.000","470.000,171.000","804.000,171.000","860.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1078.000,534.000",direct,0.0,68.0,0.0,68.0
train,game1-Clip10-0041_jpg.rf.5dd976be91a77ccb5fa0f776369a5dcc.jpg,game1,Clip10,0041.jpg,41,1280,720,1,682,445,0,1,675.0,438,689.0,452,682.0,445.0,2,"597,111,633,183|769,444,917,586","414.000,171.000","470.000,171.000","804.000,171.000","860.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,84.0,0.0,84.0
valid,game1-Clip10-0042_jpg.rf.873df39c47ae21f94acb1f3fe57064b5.jpg,game1,Clip10,0042.jpg,42,1280,720,1,690,465,0,1,683.0,458,697.0,472,690.0,465.0,2,"597,110,635,183|757,444,917,585","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,100.0,0.0,100.0
train,game1-Clip10-0043_jpg.rf.ccc4a82e2811e49d385b3b55c2292a9c.jpg,game1,Clip10,0043.jpg,43,1280,720,1,699,484,1,1,692.0,477,706.0,491,699.0,484.0,2,"599.000,108.000,639.000,183.000|738.000,447.000,913.000,584.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",mirrored,118.0,0.0,0.0,118.0
valid,game1-Clip10-0044_jpg.rf.75a7f38ef894d7e38eb3ee5b45f445a0.jpg,game1,Clip10,0044.jpg,44,1280,720,1,700,447,0,1,693.0,440,707.0,454,700.0,447.0,2,"600,107,643,181|698,450,909,583","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","367.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,120.0,0.0,120.0
train,game1-Clip10-0045_jpg.rf.bef61aed056fa64897ffc4566ca48516.jpg,game1,Clip10,0045.jpg,45,1280,720,1,701,414,0,1,694.0,407,708.0,421,701.0,414.0,2,"601,107,646,186|737,448,907,579","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","367.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","967.000,534.000","1077.000,533.000",direct,0.0,122.0,0.0,122.0
valid,game1-Clip10-0046_jpg.rf.bd6127e54d5c97b22935d29656b9f005.jpg,game1,Clip10,0046.jpg,46,1280,720,1,702,381,0,1,695.0,374,709.0,388,702.0,381.0,2,"603,105,647,187|707,445,901,581","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","966.000,534.000","1077.000,533.000",direct,0.0,124.0,0.0,124.0
valid,game1-Clip10-0047_jpg.rf.e2831d3e7d6b8685c4a574ff3192e2f4.jpg,game1,Clip10,0047.jpg,47,1280,720,1,701,352,0,1,694.0,345,708.0,359,701.0,352.0,2,"604,105,647,189|685,443,889,590","414.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,539.000","304.000,539.000","966.000,534.000","1077.000,533.000",direct,0.0,122.0,0.0,122.0
train,game1-Clip10-0048_jpg.rf.e0cbfb1b77355dd0d797328467d1efb7.jpg,game1,Clip10,0048.jpg,48,1280,720,1,702,327,0,1,695.0,320,709.0,334,702.0,327.0,2,"606,105,648,189|680,451,877,591","414.000,171.000","470.000,171.000","805.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","192.000,540.000","304.000,539.000","966.000,534.000","1077.000,533.000",direct,0.0,124.0,0.0,124.0
train,game1-Clip10-0049_jpg.rf.dc9b48c6072040008787a1824cb48223.jpg,game1,Clip10,0049.jpg,49,1280,720,1,703,304,0,1,696.0,297,710.0,311,703.0,304.0,2,"606,105,651,191|676,458,825,591","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","966.000,534.000","1076.000,533.000",direct,0.0,126.0,0.0,126.0
train,game1-Clip10-0050_jpg.rf.3bf37edc3e65d16465423ad86d28c717.jpg,game1,Clip10,0050.jpg,50,1280,720,2,705,286,0,1,698.0,279,712.0,293,705.0,286.0,2,"608,109,653,196|675,470,829,590","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","966.000,534.000","1076.000,533.000",direct,0.0,130.0,0.0,130.0
train,game1-Clip10-0051_jpg.rf.33386a774b384626882d254bee417bfb.jpg,game1,Clip10,0051.jpg,51,1280,720,1,706,265,0,1,699.0,258,713.0,272,706.0,265.0,2,"608.000,110.000,659.000,197.000|676.000,488.000,780.000,588.000","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","966.000,534.000","1076.000,533.000",mirrored,132.0,0.0,0.0,132.0
train,game1-Clip10-0052_jpg.rf.48513b5ec60d3fbe7cabe963e282e88e.jpg,game1,Clip10,0052.jpg,52,1280,720,1,707,252,0,1,700.0,245,714.0,259,707.0,252.0,2,"609,113,662,199|668,484,792,596","414.000,171.000","470.000,171.000","805.000,171.000","861.000,170.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","636.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","966.000,534.000","1076.000,533.000",direct,0.0,134.0,0.0,134.0
